Date,Profit/Losses,P/L Change
Jan-2010,867884,116771.0
Feb-2010,984655,-662642.0
Mar-2010,322013,-391430.0
Apr-2010,-69417,379920.0
May-2010,310503,212354.0
Jun-2010,522857,510239.0
Jul-2010,1033096,-428211.0
Aug-2010,604885,-821271.0
Sep-2010,-216386,693918.0
Oct-2010,477532,416278.0
Nov-2010,893810,-974163.0
Dec-2010,-80353,860159.0
Jan-2011,779806,-1115009.0
Feb-2011,-335203,1033048.0
Mar-2011,697845,95318.0
Apr-2011,793163,-308093.0
May-2011,485070,99052.0
Jun-2011,584122,-521393.0
Jul-2011,62729,605450.0
Aug-2011,668179,231727.0
Sep-2011,899906,-65187.0
Oct-2011,834719,-702716.0
Nov-2011,132003,177975.0
Dec-2011,309978,-1065544.0
Jan-2012,-755566,1926159.0
Feb-2012,1170593,-917805.0
Mar-2012,252788,898730.0
Apr-2012,1151518,-334262.0
May-2012,817256,-246499.0
Jun-2012,570757,-64055.0
Jul-2012,506702,-1529236.0
Aug-2012,-1022534,1497596.0
Sep-2012,475062,304914.0
Oct-2012,779976,-635801.0
Nov-2012,144175,398319.0
Dec-2012,542494,-183161.0
Jan-2013,359333,-37864.0
Feb-2013,321469,-253689.0
Mar-2013,67780,403655.0
Apr-2013,471435,94168.0
May-2013,565603,306877.0
Jun-2013,872480,-83000.0
Jul-2013,789480,210462.0
Aug-2013,999942,-2196167.0
Sep-2013,-1196225,1465222.0
Oct-2013,268997,-956983.0
Nov-2013,-687986,1838447.0
Dec-2013,1150461,-468003.0
Jan-2014,682458,-64602.0
Feb-2014,617856,206242.0
Mar-2014,824098,-242155.0
Apr-2014,581943,-449079.0
May-2014,132864,315198.0
Jun-2014,448062,241099.0
Jul-2014,689161,111540.0
Aug-2014,800701,365942.0
Sep-2014,1166643,-219310.0
Oct-2014,947333,-368665.0
Nov-2014,578668,409837.0
Dec-2014,988505,151210.0
Jan-2015,1139715,-110244.0
Feb-2015,1029471,-341938.0
Mar-2015,687533,-1212159.0
Apr-2015,-524626,683246.0
May-2015,158620,-70825.0
Jun-2015,87795,335594.0
Jul-2015,423389,417334.0
Aug-2015,840723,-272194.0
Sep-2015,568529,-236462.0
Oct-2015,332067,657432.0
Nov-2015,989499,-211262.0
Dec-2015,778237,-128237.0
Jan-2016,650000,-1750387.0
Feb-2016,-1100387,925441.0
Mar-2016,-174946,932089.0
Apr-2016,757143,-311434.0
May-2016,445709,267252.0
Jun-2016,712961,-1876758.0
Jul-2016,-1163797,1733696.0
Aug-2016,569899,198551.0
Sep-2016,768450,-665765.0
Oct-2016,102685,693229.0
Nov-2016,795914,-734926.0
Dec-2016,60988,77242.0
Jan-2017,138230,532869.0
